Temps abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
8.53228e-08 0.534889 0.465111 0.108069 0.891931 0.0285336 -0.156216
8.56798e-08 0.502604 0.497396 0.0919339 0.908066 0.0201748 0.098121
8.60368e-08 0.426571 0.573429 0.0555625 0.944437 0.103989 -0.186037
8.63938e-08 0.400991 0.599009 0.0633683 0.936632 0.0117468 -0.0265401
8.67508e-08 0.428384 0.571616 0.0745049 0.925495 -0.0940347 0.159052
8.71078e-08 0.394618 0.605382 0.0356616 0.964338 0.0232182 -0.0991087
8.74648e-08 0.417205 0.582795 0.0461066 0.953893 -0.0864487 0.00158859
8.78218e-08 0.408097 0.591903 0.0246959 0.975304 -0.0215246 -0.0700442
8.81788e-08 0.416144 0.583856 0.0219857 0.978014 -0.0523821 -0.0552265
8.85358e-08 0.377042 0.622958 0.00593076 0.994069 0.0473747 0.00632989
8.88928e-08 0.304709 0.695291 0.000884488 0.999116 0.120539 0.12645
8.92498e-08 0.298412 0.701588 0.01234 0.98766 -0.0241552 0.0935136
8.96068e-08 0.310798 0.689202 0.024363 0.975637 -0.0682602 -0.237552
8.99638e-08 0.238304 0.761696 0.00600821 0.993992 0.134987 0.0527861
9.03208e-08 0.26764 0.73236 0.0484995 0.9515 -0.096575 -0.116758
9.06778e-08 0.275716 0.724284 0.0475693 0.952431 -0.0385423 0.0757796
9.10348e-08 0.260284 0.739716 0.049807 0.950193 0.0118275 -0.159989
9.13918e-08 0.26328 0.73672 0.0714819 0.928518 -0.0182414 -0.151107
9.17488e-08 0.231531 0.768469 0.063868 0.936132 0.0737538 -0.170179
9.21058e-08 0.242066 0.757934 0.102333 0.897667 -0.0117647 0.185201
9.24628e-08 0.241465 0.758535 0.116139 0.883861 0.00527257 -0.0796244
9.28198e-08 0.266221 0.733779 0.154689 0.845311 -0.04574 -0.115384
9.31768e-08 0.30036 0.69964 0.18152 0.81848 -0.0555682 -0.111136
9.35338e-08 0.322749 0.677251 0.192155 0.807845 -0.0201186 -0.315427
9.38908e-08 0.289127 0.710873 0.160027 0.839973 0.118096 0.287097
9.42478e-08 0.348199 0.651801 0.271118 0.728882 -0.0949366 0.107425
9.46048e-08 0.396901 0.603099 0.289282 0.710718 -0.0736271 -0.0430412
9.49618e-08 0.399791 0.600209 0.273153 0.726847 0.0244392 -0.364382
9.53188e-08 0.461375 0.538625 0.347723 0.652277 -0.0761448 0.0253159
9.56758e-08 0.461765 0.538235 0.319364 0.680636 0.0466958 -0.15935
9.60328e-08 0.470275 0.529725 0.352899 0.647101 0.0364049 0.0409292
9.63898e-08 0.509352 0.490648 0.413725 0.586275 -0.0260686 -0.168581
9.67468e-08 0.550367 0.449633 0.443833 0.556167 -0.0249368 -0.0514013
9.71038e-08 0.616342 0.383658 0.498142 0.501858 -0.0754656 0.167715
9.74608e-08 0.600777 0.399223 0.44605 0.55395 0.085517 0.238929
9.78178e-08 0.64249 0.35751 0.538875 0.461125 -0.0420972 0.171409
9.81748e-08 0.711557 0.288443 0.604023 0.395977 -0.112944 0.0358674
9.85318e-08 0.775148 0.224852 0.634239 0.365761 -0.113932 0.0090487
9.88888e-08 0.745774 0.254226 0.559837 0.440163 0.098518 0.0495911
9.92458e-08 0.772951 0.227049 0.657292 0.342708 -0.0387524 -0.209513
9.96028e-08 0.813157 0.186843 0.698263 0.301737 -0.0648338 -0.0265242
9.99598e-08 0.805134 0.194866 0.671438 0.328562 0.0542373 -0.00635044
1.00317e-07 0.827494 0.172506 0.73657 0.26343 -0.0259371 -0.275771
1.00674e-07 0.888411 0.111589 0.806596 0.193404 -0.131928 -0.00771585
1.01031e-07 0.921831 0.0781695 0.807892 0.192108 -0.0729365 -0.11016
1.01388e-07 0.916947 0.0830531 0.77668 0.22332 0.0614394 0.170167
1.01745e-07 0.93891 0.0610896 0.845738 0.154262 -0.0542573 -0.0545798
1.02102e-07 0.940542 0.0594579 0.840088 0.159912 0.0217867 -0.00508013
1.02459e-07 0.918512 0.0814881 0.830682 0.169318 0.109001 -0.11369
1.02816e-07 0.934221 0.0657785 0.899632 0.100368 -0.0368807 0.104724
1.03173e-07 0.946476 0.0535241 0.916785 0.0832147 -0.0408508 0.143534
1.0353e-07 0.930332 0.0696681 0.904356 0.0956439 0.0619388 -0.038456
1.03887e-07 0.936635 0.0633653 0.943883 0.0561174 -0.0353336 0.138061
1.04244e-07 0.941108 0.0588923 0.956841 0.0431589 -0.0431954 0.109231
