Noise Level,Repetition,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,0,1.15311e-07,0.667252,0.332748,0.611295,0.388705
0.01,0,1.15668e-07,0.652412,0.347588,0.5801,0.4199
0.01,0,1.16025e-07,0.638696,0.361304,0.550368,0.449632
0.01,0,1.16382e-07,0.630267,0.369733,0.524377,0.475623
0.01,0,1.16739e-07,0.621916,0.378084,0.49358,0.50642
0.01,0,1.17096e-07,0.604035,0.395965,0.452713,0.547287
0.01,0,1.17453e-07,0.587548,0.412452,0.423639,0.576361
0.01,0,1.1781e-07,0.56741,0.43259,0.390347,0.609653
0.01,0,1.18167e-07,0.547974,0.452026,0.361378,0.638622
0.01,0,1.18524e-07,0.524639,0.475361,0.327846,0.672154
0.01,0,1.18881e-07,0.507696,0.492304,0.303637,0.696363
0.01,0,1.19238e-07,0.4973,0.5027,0.281228,0.718772
0.01,0,1.19595e-07,0.491916,0.508084,0.257617,0.742383
0.01,0,1.19952e-07,0.470208,0.529792,0.216697,0.783303
0.01,0,1.20309e-07,0.449887,0.550113,0.192597,0.807403
0.01,0,1.20666e-07,0.428246,0.571754,0.167554,0.832446
0.01,0,1.21023e-07,0.413767,0.586233,0.149396,0.850604
0.01,0,1.2138e-07,0.389088,0.610912,0.121038,0.878962
0.01,0,1.21737e-07,0.379693,0.620307,0.110742,0.889258
0.01,0,1.22094e-07,0.35551,0.64449,0.0832503,0.91675
0.01,0,1.22451e-07,0.337696,0.662304,0.0697973,0.930203
0.01,0,1.22808e-07,0.324776,0.675224,0.0570107,0.942989
0.01,0,1.23165e-07,0.29881,0.70119,0.0373471,0.962653
0.01,0,1.23522e-07,0.272768,0.727232,0.0262341,0.973766
0.01,0,1.23879e-07,0.244202,0.755798,0.0159522,0.984048
0.01,0,1.24236e-07,0.224305,0.775695,0.0105389,0.989461
0.01,0,1.24593e-07,0.219345,0.780655,0.00789875,0.992101
0.01,0,1.2495e-07,0.210799,0.789201,0.00272104,0.997279
0.01,0,1.25307e-07,0.208681,0.791319,0.000794649,0.999205
0.01,0,1.25664e-07,0.203082,0.796918,8.89195e-05,0.999911
0.01,0,1.26021e-07,0.188046,0.811954,0.000752457,0.999248
0.01,0,1.26378e-07,0.176085,0.823915,0.00345042,0.99655
0.01,0,1.26735e-07,0.17813,0.82187,0.0108726,0.989127
0.01,0,1.27092e-07,0.169639,0.830361,0.01457,0.98543
0.01,0,1.27449e-07,0.161415,0.838585,0.0221014,0.977899
0.01,0,1.27806e-07,0.161375,0.838625,0.035303,0.964697
0.01,0,1.28163e-07,0.176342,0.823658,0.0562127,0.943787
0.01,0,1.2852e-07,0.182798,0.817202,0.0650611,0.934939
0.01,0,1.28877e-07,0.187309,0.812691,0.0795631,0.920437
0.01,0,1.29234e-07,0.191785,0.808215,0.0961041,0.903896
0.01,0,1.29591e-07,0.197892,0.802108,0.114947,0.885053
0.01,0,1.29948e-07,0.201332,0.798668,0.132804,0.867196
0.01,0,1.30305e-07,0.206119,0.793881,0.154227,0.845773
0.01,0,1.30662e-07,0.220081,0.779919,0.1844,0.8156
0.01,0,1.31019e-07,0.232598,0.767402,0.206836,0.793164
0.01,0,1.31376e-07,0.246706,0.753294,0.234563,0.765437
0.01,0,1.31733e-07,0.254664,0.745336,0.253423,0.746577
0.01,0,1.3209e-07,0.263255,0.736745,0.281412,0.718588
0.01,0,1.32447e-07,0.272711,0.727289,0.311384,0.688616
0.01,0,1.32804e-07,0.292329,0.707671,0.35004,0.64996
0.01,0,1.33161e-07,0.318824,0.681176,0.387116,0.612884
0.01,0,1.33518e-07,0.329426,0.670574,0.40083,0.59917
0.01,0,1.33875e-07,0.344857,0.655143,0.436874,0.563126
0.01,0,1.34232e-07,0.359218,0.640782,0.467122,0.532878
0.01,0,1.34589e-07,0.375461,0.624539,0.50023,0.49977
0.01,0,1.34946e-07,0.396631,0.603369,0.535682,0.464318
0.01,0,1.35303e-07,0.415184,0.584816,0.563468,0.436532
0.01,0,1.3566e-07,0.428152,0.571848,0.588983,0.411017
0.01,0,1.36017e-07,0.440616,0.559384,0.61867,0.38133
0.01,0,1.36374e-07,0.474821,0.525179,0.668972,0.331028
0.01,0,1.36731e-07,0.493981,0.506019,0.68456,0.31544
0.01,0,1.37088e-07,0.500279,0.499721,0.701097,0.298903
0.01,0,1.37445e-07,0.545955,0.454045,0.763352,0.236648
0.01,0,1.37802e-07,0.560312,0.439688,0.764061,0.235939
0.01,0,1.38159e-07,0.589146,0.410854,0.801181,0.198819
0.01,0,1.38516e-07,0.600503,0.399497,0.812581,0.187419
0.01,0,1.38873e-07,0.617179,0.382821,0.840106,0.159894
0.01,0,1.3923e-07,0.624126,0.375874,0.855568,0.144432
0.01,0,1.39587e-07,0.638206,0.361794,0.88226,0.11774
0.01,0,1.39944e-07,0.661636,0.338364,0.907965,0.0920349
